小麦,3.50,2025-04-28
玉米,2.80,2025-04-28
水稻,4.20,2025-04-28
大豆,2.50,2025-04-28
高粱,1.80,2025-04-28
小麦,3.55,2025-04-27
玉米,2.85,2025-04-27
水稻,4.25,2025-04-27
大豆,2.55,2025-04-27
高粱,1.85,2025-04-27
小麦,3.52,2025-04-26
玉米,2.82,2025-04-26
水稻,4.22,2025-04-26
大豆,2.52,2025-04-26
高粱,1.82,2025-04-26
小麦,3.58,2025-04-25
玉米,2.88,2025-04-25
水稻,4.28,2025-04-25
大豆,2.58,2025-04-25
高粱,1.88,2025-04-25
小麦,3.51,2025-04-24
玉米,2.81,2025-04-24
水稻,4.21,2025-04-24
大豆,2.51,2025-04-24
高粱,1.81,2025-04-24
小麦,3.53,2025-04-23
玉米,2.83,2025-04-23
水稻,4.23,2025-04-23
大豆,2.53,2025-04-23
高粱,1.83,2025-04-23
小麦,3.56,2025-04-22
玉米,2.86,2025-04-22
水稻,4.26,2025-04-22
大豆,2.56,2025-04-22
高粱,1.86,2025-04-22
